bar,timestamp,close,sma,ema,rsi,macd,macd_signal,macd_histogram,atr,vwap,roc,cci,vwap_status
119,2023-05-19T11:14:00,487.0,506.90500000000003,506.2615074953297,37.9807576397105,-3.625201168461615,-2.4459909084468685,-1.1792102600147465,13.64782453478215,,-1.6757520694528627,-164.35992252157024,missing_volume
120,2023-05-19T11:15:00,476.55,504.74750000000006,503.4318401148221,33.853698885163595,-5.533000959859635,-3.0633929187294218,-2.469608041130213,14.083694210869139,,-5.624319239528663,-235.27950410110233,missing_volume
121,2023-05-19T11:16:00,494.45,503.31499999999994,502.5764267705533,44.898584180382564,-5.5367415262272175,-3.558062640228981,-1.9786788859982365,14.767001767235627,,-1.8558951965065518,-157.33035532019602,missing_volume
122,2023-05-19T11:17:00,475.5,500.9425,499.9977194590721,37.71820290743386,-6.988256311543978,-4.24410137449198,-2.7441549370519978,15.337215926718796,,-5.38254900009949,-176.66867375839152,missing_volume
123,2023-05-19T11:18:00,450.0,497.925,495.2360318915414,30.6214954215667,-10.08003278082009,-5.411287655757603,-4.668745125062488,16.063129074810313,,-9.71107544141252,-289.92545260915915,missing_volume
124,2023-05-19T11:19:00,446.95,494.9725,490.6373621875851,29.89693123022855,-12.630797447280656,-6.855189614062214,-5.775607833218443,15.780048426609577,,-12.951601908657128,-258.84100538478424,missing_volume
125,2023-05-19T11:20:00,435.55,491.65,485.3909467411484,27.297037029553067,-15.394720790549968,-8.563095849359765,-6.831624941190203,16.07075925328032,,-14.329268292682917,-224.65441411377589,missing_volume
126,2023-05-19T11:21:00,454.2,489.355,482.42038038484856,36.95601909760624,-15.897000096068098,-10.029876698701433,-5.867123397366665,16.612133592331723,,-11.814386952723034,-139.4653206206768,missing_volume
127,2023-05-19T11:22:00,449.1,487.04499999999996,479.2470108243868,35.56455300742595,-16.516198981062985,-11.327141155173743,-5.1890578258892415,16.33269547859374,,-12.524347487339293,-110.32062077975192,missing_volume
128,2023-05-19T11:23:00,457.5,484.6725,477.17586693634996,39.59848932858157,-16.143022050719253,-12.290317334282845,-3.852704716436408,16.76964580155133,,-9.343109085504796,-83.5323501900608,missing_volume
